Name,Gender,AllPpl,C1,C2,C3,C4,C5,C6 ,C7,C8
Fochabers Lhanbryde,Females,3851,167,957,680,286,196,829,389,128
Forfar and District,All,11598,650,2183,1338,941,1152,2016,2049,543
Forfar and District,Males,5673,427,889,315,639,859,761,1217,251
Forfar and District,Females,5925,223,1294,1023,302,293,1255,832,292
Forres,All,11218,823,2667,1536,974,1070,1885,1295,403
Forres,Males,5589,579,1281,490,597,791,647,764,198
Forres,Females,5629,244,1386,1046,377,279,1238,531,205
Fort William and Ardnamurchan,All,8213,476,1740,752,1092,888,1546,1149,228
Fort William and Ardnamurchan,Males,4058,307,755,172,699,594,607,668,92
Fort William and Ardnamurchan,Females,4155,169,985,580,393,294,939,481,136
Forth,All,24457,2607,4671,3001,1540,1694,3687,3461,1724
Forth,Males,11821,1542,2080,885,1057,1144,1468,1845,790
Forth,Females,12636,1065,2591,2116,483,550,2219,1616,934
Forth and Endrick,All,8976,1600,2474,919,1205,530,868,529,211
Forth and Endrick,Males,4251,1045,975,180,762,365,279,272,89
Forth and Endrick,Females,4725,555,1499,739,443,165,589,257,122
Fortissat,All,11629,442,1775,1404,766,1114,2197,2443,820
Fortissat,Males,5946,291,741,323,572,831,845,1599,441
Fortissat,Females,5683,151,1034,1081,194,283,1352,844,379
Fountainbridge / Craiglockhart,All,19782,3591,4847,2252,968,915,1682,1084,584
Fountainbridge / Craiglockhart,Males,9876,2107,2179,736,657,645,715,623,303
Fountainbridge / Craiglockhart,Females,9906,1484,2668,1516,311,270,967,461,281
Fraserburgh and District,All,11621,529,1653,1040,1028,1455,2318,2403,413
Fraserburgh and District,Males,5787,380,821,225,762,1139,751,1218,164
Fraserburgh and District,Females,5834,149,832,815,266,316,1567,1185,249
Galashiels and District,All,10969,719,2174,1300,928,846,1872,1506,545
Galashiels and District,Males,5329,472,949,418,657,619,705,888,282
Galashiels and District,Females,5640,247,1225,882,271,227,1167,618,263
Garscadden / Scotstounhill,All,21400,1325,3768,2803,1096,1637,3558,3104,2223
Garscadden / Scotstounhill,Males,10356,777,1495,791,836,1154,1476,1763,1196
Garscadden / Scotstounhill,Females,11044,548,2273,2012,260,483,2082,1341,1027
George St / Harbour,All,16591,1425,2333,1310,396,1116,1726,1414,441
George St / Harbour,Males,8777,992,1184,487,281,852,856,895,218
George St / Harbour,Females,7814,433,1149,823,115,264,870,519,223
Giffnock and Thornliebank,All,9882,1519,2630,1511,755,470,1064,525,425
Giffnock and Thornliebank,Males,4731,944,1097,417,550,362,361,331,179
Giffnock and Thornliebank,Females,5151,575,1533,1094,205,108,703,194,246
Girvan and South Carrick,All,7326,270,1078,704,869,760,1566,1264,398
Girvan and South Carrick,Males,3511,184,389,152,574,552,605,692,185
Girvan and South Carrick,Females,3815,86,689,552,295,208,961,572,213
Glenrothes Central and Thornton,All,10570,415,1746,1315,670,1134,2282,1700,594
Glenrothes Central and Thornton,Males,5159,301,763,359,459,785,878,1014,257
Glenrothes Central and Thornton,Females,5411,114,983,956,211,349,1404,686,337
"Glenrothes North, Leslie and Markinch",All,13683,983,2840,1813,980,1336,2450,1704,714
"Glenrothes North, Leslie and Markinch",Males,6651,663,1245,467,663,947,913,1020,354
"Glenrothes North, Leslie and Markinch",Females,7032,320,1595,1346,317,389,1537,684,360
Glenrothes West and Kinglassie,All,13634,566,2419,1721,753,1365,2871,2214,796
Glenrothes West and Kinglassie,Males,6534,388,1022,497,517,982,1091,1248,360
Glenrothes West and Kinglassie,Females,7100,178,1397,1224,236,383,1780,966,436
Govan,All,23154,1360,3434,2826,1053,1764,3838,3753,2580
Govan,Males,11901,840,1559,936,809,1258,1711,2164,1270
Govan,Females,11253,520,1875,1890,244,506,2127,1589,1310
Grangemouth,All,12932,425,1969,1824,630,1514,2473,2635,758
Grangemouth,Males,6284,298,909,387,409,1159,884,1561,364
Grangemouth,Females,6648,127,1060,1437,221,355,1589,1074,394
Greater Pollok,All,23810,1253,3632,3077,1306,1879,4628,3690,2193
Greater Pollok,Males,11123,742,1456,856,1013,1346,1604,2113,960
Greater Pollok,Females,12687,511,2176,2221,293,533,3024,1577,1233
Haddington and Lammermuir,All,9439,1045,2253,1088,980,707,1450,1045,318
Haddington and Lammermuir,Males,4625,687,962,261,643,495,516,647,160
Haddington and Lammermuir,Females,4814,358,1291,827,337,212,934,398,158
Hamilton North and East,All,11831,1050,2564,1650,823,870,1853,1530,653
Hamilton North and East,Males,5847,667,1179,510,609,626,655,884,334
Hamilton North and East,Females,5984,383,1385,1140,214,244,1198,646,319
Hamilton South,All,14285,1074,2849,2098,895,1238,2371,2104,789
Hamilton South,Males,6894,718,1232,579,686,891,788,1228,410
Hamilton South,Females,7391,356,1617,1519,209,347,1583,876,379
Hamilton West and Earnock,All,14255,1146,2899,2115,943,1216,2316,1921,793
Hamilton West and Earnock,Males,6926,703,1251,631,705,852,828,1123,400
Hamilton West and Earnock,Females,7329,443,1648,1484,238,364,1488,798,393
Hawick and Denholm,All,6947,341,1097,695,781,539,1292,1475,365
Hawick and Denholm,Males,3339,239,462,177,548,358,447,786,166
Hawick and Denholm,Females,3608,102,635,518,233,181,845,689,199
Hawick and Hermitage,All,6591,361,1173,724,754,551,1114,1349,234
Hawick and Hermitage,Males,3309,263,519,173,525,406,447,726,120
Hawick and Hermitage,Females,3282,98,654,551,229,145,667,623,114
Hazlehead / Ashley / Queens Cross,All,14206,3423,3905,1765,817,808,1179,644,293
Hazlehead / Ashley / Queens Cross,Males,7228,2244,1751,407,539,629,459,400,120
Hazlehead / Ashley / Queens Cross,Females,6978,1179,2154,1358,278,179,720,244,173
Heldon and Laich,All,10936,699,2571,1624,871,1065,1797,1239,275
Heldon and Laich,Males,5711,489,1382,715,555,776,606,660,128
Heldon and Laich,Females,5225,210,1189,909,316,289,1191,579,147
Helensburgh Central,All,6982,876,1774,893,556,486,944,677,290
Helensburgh Central,Males,3388,616,799,248,358,330,293,359,147
Helensburgh Central,Females,3594,260,975,645,198,156,651,318,143
Helensburgh and Lomond South,All,5394,568,1610,864,439,339,648,370,159
Helensburgh and Lomond South,Males,2629,390,825,276,268,236,207,174,72
Helensburgh and Lomond South,Females,2765,178,785,588,171,103,441,196,87
Highland,All,6845,598,1483,554,1146,774,1074,773,141
Highland,Males,3385,414,560,107,704,512,434,415,71
Highland,Females,3460,184,923,447,442,262,640,358,70
Hillhead,All,23025,3830,4571,1611,939,832,1521,1022,1209
Hillhead,Males,11340,2161,2070,695,627,609,722,584,529
Hillhead,Females,11685,1669,2501,916,312,223,799,438,680
Hilton / Stockethill,All,11746,953,1969,1351,509,1119,1934,1974,403
Hilton / Stockethill,Males,5812,623,849,343,362,829,748,1156,174
Hilton / Stockethill,Females,5934,330,1120,1008,147,290,1186,818,229
"Houston, Crosslee and Linwood",All,11727,1090,2481,1799,659,1021,1690,1498,546
"Houston, Crosslee and Linwood",Males,5596,698,1022,422,464,761,586,916,281
"Houston, Crosslee and Linwood",Females,6131,392,1459,1377,195,260,1104,582,265
Howe of Fife and Tay Coast,All,10926,1187,2627,1276,1177,932,1551,1197,331
Howe of Fife and Tay Coast,Males,5411,760,1096,296,801,689,547,745,169
Howe of Fife and Tay Coast,Females,5515,427,1531,980,376,243,1004,452,162
"Huntly, Strathbogie and Howe of Alford",All,10926,1072,2171,1224,1448,1051,1751,1367,281
"Huntly, Strathbogie and Howe of Alford",Males,5510,730,873,239,1013,786,570,882,130
"Huntly, Strathbogie and Howe of Alford",Females,5416,342,1298,985,435,265,1181,485,151
Inverclyde East,All,12842,996,2057,1540,751,979,2437,2407,719
Inverclyde East,Males,6161,662,831,424,528,656,881,1374,331
Inverclyde East,Females,6681,334,1226,1116,223,323,1556,1033,388
Inverclyde East Central,All,10517,424,1614,1338,445,871,2100,2139,787
Inverclyde East Central,Males,5093,260,710,455,339,606,744,1226,377
Inverclyde East Central,Females,5424,164,904,883,106,265,1356,913,410
Inverclyde North,All,11550,831,2358,1740,578,811,1881,1707,698
Inverclyde North,Males,5644,559,980,594,420,572,722,1023,360
Inverclyde North,Females,5906,272,1378,1146,158,239,1159,684,338
Inverclyde South,All,8741,316,1333,1248,366,766,1812,1680,566
Inverclyde South,Males,4219,195,545,374,288,545,702,982,286
Inverclyde South,Females,4522,121,788,874,78,221,1110,698,280
Inverclyde South West,All,8965,673,1838,1320,522,646,1466,1303,408
Inverclyde South West,Males,4236,452,839,396,385,472,480,705,171
Inverclyde South West,Females,4729,221,999,924,137,174,986,598,237
Inverclyde West,All,8278,809,2056,1434,464,629,1145,817,246
Inverclyde West,Males,4049,554,905,448,334,470,393,504,128
Inverclyde West,Females,4229,255,1151,986,130,159,752,313,118
Inverkeithing and Dalgety Bay,All,12848,1614,3297,2056,928,905,1730,1118,384
Inverkeithing and Dalgety Bay,Males,6340,1144,1512,595,598,663,595,670,180
Inverkeithing and Dalgety Bay,Females,6508,470,1785,1461,330,242,1135,448,204
Inverleith,All,23556,5543,6772,2746,1623,988,1815,1262,617
Inverleith,Males,11362,3185,2980,759,1034,663,671,705,277
Inverleith,Females,12194,2358,3792,1987,589,325,1144,557,340
Inverness Central,All,10496,634,1715,1095,760,1060,2121,1938,642
Inverness Central,Males,5260,369,748,353,520,710,801,1188,318
Inverness Central,Females,5236,265,967,742,240,350,1320,750,324
Inverness Milburn,All,6431,626,1604,877,426,543,1045,716,190
Inverness Milburn,Males,3112,406,738,266,279,366,350,452,101
Inverness Milburn,Females,3319,220,866,611,147,177,695,264,89
Inverness Ness-Side,All,8599,737,2118,1183,606,853,1373,1032,219
Inverness Ness-Side,Males,4143,490,925,276,415,588,467,660,115
Inverness Ness-Side,Females,4456,247,1193,907,191,265,906,372,104
Inverness South,All,9442,1040,2651,1412,762,853,1289,714,236
Inverness South,Males,4539,668,1165,331,498,652,415,492,101
Inverness South,Females,4903,372,1486,1081,264,201,874,222,135
Inverness West,All,6561,390,1384,993,503,646,1166,875,263
Inverness West,Males,3200,245,560,287,366,459,413,575,141
Inverness West,Females,3361,145,824,706,137,187,753,300,122
Inverurie and District,All,9854,1002,2252,1349,612,1043,1530,1362,213
Inverurie and District,Males,4858,703,988,306,379,799,497,868,99
Inverurie and District,Females,4996,299,1264,1043,233,244,1033,494,114
Irvine East,All,15250,806,2710,2026,977,1602,2766,2296,853
Irvine East,Males,7265,529,1096,517,690,1160,1000,1338,403
Irvine East,Females,7985,277,1614,1509,287,442,1766,958,450
Irvine Valley,All,11422,780,2122,1415,1200,1046,1753,1720,672
Irvine Valley,Males,5819,521,893,350,807,795,703,1047,386
Irvine Valley,Females,5603,259,1229,1065,393,251,1050,673,286
Irvine West,All,14533,575,2300,1718,867,1459,2866,2530,1231
Irvine West,Males,6892,379,1003,435,619,1040,1017,1400,567
Irvine West,Females,7641,196,1297,1283,248,419,1849,1130,664
Isle of Bute,All,4755,258,871,581,663,418,804,676,238
Isle of Bute,Males,2318,171,328,163,441,285,296,408,122
Isle of Bute,Females,2437,87,543,418,222,133,508,268,116
Jedburgh and District,All,6856,555,1371,709,1011,568,1150,947,213
Jedburgh and District,Males,3327,393,546,151,664,396,393,542,102
Jedburgh and District,Females,3529,162,825,558,347,172,757,405,111
"Johnstone North, Kilbarchan and Lochwinnoch",All,10164,878,2123,1459,664,816,1543,1389,605
"Johnstone North, Kilbarchan and Lochwinnoch",Males,4914,561,901,367,480,585,593,820,305
"Johnstone North, Kilbarchan and Lochwinnoch",Females,5250,317,1222,1092,184,231,950,569,300
"Johnstone South, Elderslie and Howwood",All,12826,875,2496,1854,781,1143,2149,1835,743
"Johnstone South, Elderslie and Howwood",Males,6111,528,1038,506,568,820,773,1046,369
"Johnstone South, Elderslie and Howwood",Females,6715,347,1458,1348,213,323,1376,789,374
Keith and Cullen,All,7604,401,1249,825,966,810,1500,1273,225
Keith and Cullen,Males,3782,269,551,155,677,612,508,778,94
Keith and Cullen,Females,3822,132,698,670,289,198,992,495,131
Kelso and District,All,7275,527,1502,801,912,675,1373,933,244
Kelso and District,Males,3490,346,620,179,598,481,516,503,121
Kelso and District,Females,3785,181,882,622,314,194,857,430,123
Kilbirnie and Beith,All,11230,604,1922,1458,831,1139,2001,1733,795
Kilbirnie and Beith,Males,5459,396,803,359,548,830,752,1004,415
Kilbirnie and Beith,Females,5771,208,1119,1099,283,309,1249,729,380
Kilmarnock East and Hurlford,All,11405,518,1948,1542,681,1129,2256,1824,685
Kilmarnock East and Hurlford,Males,5439,365,804,403,484,850,837,980,325
Kilmarnock East and Hurlford,Females,5966,153,1144,1139,197,279,1419,844,360
Kilmarnock North,All,9435,696,1950,1193,651,809,1519,1217,667
Kilmarnock North,Males,4484,455,826,344,442,590,554,670,298
Kilmarnock North,Females,4951,241,1124,849,209,219,965,547,369
Kilmarnock South,All,8004,230,1083,1045,436,776,1674,1531,684
Kilmarnock South,Males,3757,159,431,280,332,572,625,794,319
Kilmarnock South,Females,4247,71,652,765,104,204,1049,737,365
Kilmarnock West and Crosshouse,All,11837,944,2683,1693,854,1028,1793,1447,610
Kilmarnock West and Crosshouse,Males,5860,624,1163,477,615,770,725,820,328
Kilmarnock West and Crosshouse,Females,5977,320,1520,1216,239,258,1068,627,282
Kilpatrick,All,9181,449,1627,1576,493,807,1623,1271,605
Kilpatrick,Males,4282,285,662,426,390,590,553,773,269
Kilpatrick,Females,4899,164,965,1150,103,217,1070,498,336
Kilsyth,All,8991,444,1544,1236,739,872,1585,1519,464
Kilsyth,Males,4318,289,631,296,584,624,499,910,224
Kilsyth,Females,4673,155,913,940,155,248,1086,609,240
Kilwinning,All,12848,647,2391,1719,829,1339,2238,1896,753
Kilwinning,Males,6130,411,978,443,565,989,813,1063,380
Kilwinning,Females,6718,236,1413,1276,264,350,1425,833,373
Kincorth / Loirston,All,12070,935,2352,1899,726,1379,2033,1724,291
Kincorth / Loirston,Males,5878,634,1051,430,501,1062,680,1081,112
Kincorth / Loirston,Females,6192,301,1301,1469,225,317,1353,643,179
Kingswells / Sheddocksley,All,10872,1161,2188,1540,661,1028,1716,1561,378
Kingswells / Sheddocksley,Males,5236,777,931,344,461,764,607,904,160
Kingswells / Sheddocksley,Females,5636,384,1257,1196,200,264,1109,657,218
Kinross-shire,All,9349,1366,2569,1095,1069,616,1052,764,223
Kinross-shire,Males,4524,925,1039,287,690,434,334,431,108
Kinross-shire,Females,4825,441,1530,808,379,182,718,333,115
Kintyre and the Islands,All,4413,258,854,421,799,394,773,592,136
Kintyre and the Islands,Males,2157,155,319,82,545,262,310,350,54
Kintyre and the Islands,Females,2256,103,535,339,254,132,463,242,82
Kirkcaldy Central,All,10735,700,1990,1242,668,932,1959,1672,783
Kirkcaldy Central,Males,5211,478,889,357,447,648,681,1000,367
Kirkcaldy Central,Females,5524,222,1101,885,221,284,1278,672,416
Kirkcaldy East,All,10599,511,1830,1256,655,1026,2047,1827,790
Kirkcaldy East,Males,5244,324,776,390,477,732,755,1062,432
Kirkcaldy East,Females,5355,187,1054,866,178,294,1292,765,358
Kirkcaldy North,All,11654,682,2398,1718,724,1098,2131,1658,536
Kirkcaldy North,Males,5540,454,1033,474,531,784,727,993,234
Kirkcaldy North,Females,6114,228,1365,1244,193,314,1404,665,302
Kirkintilloch East and Twechar,All,9465,483,1790,1413,573,865,1701,1354,542
Kirkintilloch East and Twechar,Males,4523,317,719,375,439,630,567,833,284
Kirkintilloch East and Twechar,Females,4942,166,1071,1038,134,235,1134,521,258
Kirkwall East,All,3395,186,708,374,328,380,669,525,76
Kirkwall East,Males,1650,118,324,81,208,256,243,320,35
Kirkwall East,Females,1745,68,384,293,120,124,426,205,41
Kirkwall West and Orphir,All,2995,171,563,327,342,326,562,479,80
Kirkwall West and Orphir,Males,1475,107,254,71,214,233,194,320,33
Kirkwall West and Orphir,Females,1520,64,309,256,128,93,368,159,47
Kirriemuir and Dean,All,7903,680,1777,851,938,705,1179,1032,262
Kirriemuir and Dean,Males,3941,461,697,191,650,521,462,613,120
Kirriemuir and Dean,Females,3962,219,1080,660,288,184,717,419,142
Kyle,All,8569,635,1690,1030,874,806,1437,1119,401
Kyle,Males,4123,413,731,255,601,553,471,659,198
Kyle,Females,4446,222,959,775,273,253,966,460,203
Landward Caithness,All,8040,626,1533,875,1225,846,1307,993,279
Landward Caithness,Males,4078,415,687,191,839,657,394,617,130
Landward Caithness,Females,3962,211,846,684,386,189,913,376,149
Langside,All,18607,2511,5321,2875,1028,1089,2116,1361,876
Langside,Males,9169,1359,2320,1011,782,828,878,867,414
Langside,Females,9438,1152,3001,1864,246,261,1238,494,462
Larkhall,All,14059,735,2505,1921,1059,1309,2461,2428,827
Larkhall,Males,6677,488,1045,450,796,925,792,1417,418
Larkhall,Females,7382,247,1460,1471,263,384,1669,1011,409
Leaderdale and Melrose,All,7797,922,2001,962,1030,487,1054,695,241
Leaderdale and Melrose,Males,3761,581,792,254,680,340,373,419,126
Leaderdale and Melrose,Females,4036,341,1209,708,350,147,681,276,115
Leith,All,20365,2714,5054,2529,1292,1500,2537,2125,1057
Leith,Males,10383,1613,2361,896,910,1035,1076,1216,545
Leith,Females,9982,1101,2693,1633,382,465,1461,909,512
Leith Walk,All,27309,3937,6802,3224,1500,1877,3051,2299,1151
Leith Walk,Males,13824,2307,3164,1213,1018,1321,1358,1311,536
Leith Walk,Females,13485,1630,3638,2011,482,556,1693,988,615
Lenzie and Kirkintilloch South,All,10171,1390,2846,1612,656,562,1152,704,350
Lenzie and Kirkintilloch South,Males,4946,930,1155,436,496,418,444,442,186
Lenzie and Kirkintilloch South,Females,5225,460,1691,1176,160,144,708,262,164
Lerwick North,All,2453,128,465,251,154,299,508,495,65
Lerwick North,Males,1309,85,218,69,113,218,176,344,43
Lerwick North,Females,1144,43,247,182,41,81,332,151,22
Lerwick South,All,3380,209,758,385,252,372,675,503,71
Lerwick South,Males,1682,134,368,88,178,260,222,322,31
Lerwick South,Females,1698,75,390,297,74,112,453,181,40
Leven,All,13931,594,2326,2017,770,1405,2819,2104,956
Leven,Males,6680,376,973,598,564,997,1040,1240,475
Leven,Females,7251,218,1353,1419,206,408,1779,864,481
"Leven, Kennoway and Largo",All,13592,725,2579,1603,1011,1359,2684,2075,717
"Leven, Kennoway and Largo",Males,6602,498,1050,405,697,1014,970,1246,345
"Leven, Kennoway and Largo",Females,6990,227,1529,1198,314,345,1714,829,372
Liberton / Gilmerton,All,24165,2267,4565,3304,1795,1840,3747,3121,1534
Liberton / Gilmerton,Males,11590,1400,1854,860,1335,1289,1400,1756,659
Liberton / Gilmerton,Females,12575,867,2711,2444,460,551,2347,1365,875
Linlithgow,All,11306,1998,3160,1593,721,702,1238,869,271
Linlithgow,Males,5560,1287,1439,405,449,507,417,532,141
Linlithgow,Females,5746,711,1721,1188,272,195,821,337,130
Linn,All,21861,1295,3649,3046,1166,1649,3876,3492,2029
Linn,Males,10217,777,1469,814,908,1176,1409,1931,968
Linn,Females,11644,518,2180,2232,258,473,2467,1561,1061
Livingston North,All,17354,1501,3614,2906,950,1450,2671,2434,696
Livingston North,Males,8566,989,1750,816,647,1025,982,1524,299
Livingston North,Females,8788,512,1864,2090,303,425,1689,910,397
Livingston South,All,17528,1598,3393,2741,990,1426,2912,2390,781
Livingston South,Males,8462,1088,1539,755,649,986,1060,1423,357
Livingston South,Females,9066,510,1854,1986,341,440,1852,967,424
Loch a Tuath,All,2021,122,457,279,188,197,312,297,67
Loch a Tuath,Males,1025,72,199,63,144,150,102,209,38
Loch a Tuath,Females,996,50,258,216,44,47,210,88,29
Lochar,All,8819,570,1983,1269,822,793,1616,1089,221
Lochar,Males,4273,377,808,320,583,589,607,674,109
Lochar,Females,4546,193,1175,949,239,204,1009,415,112
Lochee,All,13854,680,2348,1936,708,1179,2387,2282,1140
Lochee,Males,6545,411,897,534,532,826,997,1257,565
Lochee,Females,7309,269,1451,1402,176,353,1390,1025,575
Lochgelly and Cardenden,All,9523,313,1330,1146,616,1011,1982,1920,649
Lochgelly and Cardenden,Males,4648,218,556,297,448,752,632,1215,296
Lochgelly and Cardenden,Females,4875,95,774,849,168,259,1350,705,353
Lomond,All,8793,468,1685,1315,586,878,1582,1243,473
Lomond,Males,4220,308,700,396,421,640,590,683,222
Lomond,Females,4573,160,985,919,165,238,992,560,251
Lomond North,All,6730,675,1653,1363,616,504,791,600,214
Lomond North,Males,3750,468,897,817,379,331,270,333,101
Lomond North,Females,2980,207,756,546,237,173,521,267,113
Lower Braes,All,10567,861,2367,1593,666,1018,1540,1391,535
Lower Braes,Males,5411,550,1102,421,457,786,542,896,368
Lower Braes,Females,5156,311,1265,1172,209,232,998,495,167
Lower Deeside,All,10781,2375,2837,1294,843,593,1046,522,302
Lower Deeside,Males,5278,1630,1103,272,532,444,347,327,118
Lower Deeside,Females,5503,745,1734,1022,311,149,699,195,184
Maryfield,All,13523,817,2215,1499,650,989,1833,1552,847
Maryfield,Males,6943,509,972,518,475,695,800,910,444
Maryfield,Females,6580,308,1243,981,175,294,1033,642,403
Maryhill / Kelvin,All,22366,2179,4261,2518,1079,1557,3216,2747,1665
Maryhill / Kelvin,Males,10668,1245,1730,749,805,1104,1275,1517,812
Maryhill / Kelvin,Females,11698,934,2531,1769,274,453,1941,1230,853
"Maybole, North Carrick and Coylton",All,10770,682,2255,1270,1180,1100,1713,1358,491
"Maybole, North Carrick and Coylton",Males,5257,433,947,308,815,806,608,798,225
"Maybole, North Carrick and Coylton",Females,5513,249,1308,962,365,294,1105,560,266
Meadows / Morningside,All,27883,5873,6308,2006,1294,643,1401,726,598
Meadows / Morningside,Males,13428,3412,2724,676,765,433,574,406,303
Meadows / Morningside,Females,14455,2461,3584,1330,529,210,827,320,295
Mearns,All,10020,1053,2313,1196,1134,972,1464,1121,209
Mearns,Males,5007,746,988,279,713,742,540,644,103
Mearns,Females,5013,307,1325,917,421,230,924,477,106
Mid Argyll,All,5761,507,1443,681,766,513,772,648,183
Mid Argyll,Males,2835,309,584,147,518,363,285,426,95
Mid Argyll,Females,2926,198,859,534,248,150,487,222,88
Mid Berwickshire,All,7687,595,1521,812,1116,656,1391,982,252
Mid Berwickshire,Males,3839,372,676,171,746,459,557,577,115
Mid Berwickshire,Females,3848,223,845,641,370,197,834,405,137
Mid Formartine,All,11708,1621,2933,1567,1168,1073,1423,1000,185
Mid Formartine,Males,5892,1122,1236,339,783,850,494,615,82
Mid Formartine,Females,5816,499,1697,1228,385,223,929,385,103
Mid Galloway,All,7091,356,1216,662,1231,595,1444,960,365
Mid Galloway,Males,3490,243,462,134,845,399,571,559,169
Mid Galloway,Females,3601,113,754,528,386,196,873,401,196
Mid and Upper Nithsdale,All,8932,504,1553,899,1107,776,1841,1351,411
Mid and Upper Nithsdale,Males,4381,324,637,197,777,562,673,800,206
Mid and Upper Nithsdale,Females,4551,180,916,702,330,214,1168,551,205
Midlothian East,All,10611,926,2040,1564,859,850,1745,1488,471
Midlothian East,Males,5099,570,899,392,603,620,623,858,232
Midlothian East,Females,5512,356,1141,1172,256,230,1122,630,239
Midlothian South,All,9634,653,1673,1367,711,868,1720,1552,530
Midlothian South,Males,4647,390,725,347,500,634,625,935,258
Midlothian South,Females,4987,263,948,1020,211,234,1095,617,272
Midlothian West,All,10513,947,2207,1691,867,837,1605,1372,361
Midlothian West,Males,5175,593,991,483,628,592,567,829,191
Midlothian West,Females,5338,354,1216,1208,239,245,1038,543,170
Midstocket / Rosemount,All,12725,2350,2894,1369,468,877,1240,953,348
Midstocket / Rosemount,Males,6482,1456,1251,424,323,651,557,587,165
Midstocket / Rosemount,Females,6243,894,1643,945,145,226,683,366,183
Milngavie,All,9405,1537,2626,1324,747,524,1027,539,242
Milngavie,Males,4486,1004,1087,317,538,380,299,317,132
Milngavie,Females,4919,533,1539,1007,209,144,728,222,110
Monifieth and Sidlaw,All,11870,1496,3386,1783,1092,844,1304,896,227
Monifieth and Sidlaw,Males,5799,961,1422,463,764,635,465,543,111
Monifieth and Sidlaw,Females,6071,535,1964,1320,328,209,839,353,116
Montrose and District,All,11712,757,2433,1326,962,1290,2011,1710,533
Montrose and District,Males,5791,530,1100,310,626,975,742,969,231
Montrose and District,Females,5921,227,1333,1016,336,315,1269,741,302
Mossend and Holytown,All,9893,383,1585,1372,557,970,1899,1852,687
Mossend and Holytown,Males,4844,247,676,379,418,692,703,1153,298
Mossend and Holytown,Females,5049,136,909,993,139,278,1196,699,389
Motherwell North,All,13664,755,2491,1999,770,1238,2387,2223,850
Motherwell North,Males,6722,492,1001,576,571,954,881,1388,406
Motherwell North,Females,6942,263,1490,1423,199,284,1506,835,444
Motherwell South East and Ravenscraig,All,13087,753,2411,1955,620,1061,2277,2130,1015
Motherwell South East and Ravenscraig,Males,6468,500,1036,580,439,801,928,1245,525
Motherwell South East and Ravenscraig,Females,6619,253,1375,1375,181,260,1349,885,490
Motherwell West,All,10610,732,2142,1567,558,881,1753,1582,659
Motherwell West,Males,5090,484,927,435,385,659,675,888,288
Motherwell West,Females,5520,248,1215,1132,173,222,1078,694,371
Murdostoun,All,13959,719,2651,2073,849,1234,2384,2274,903
Murdostoun,Males,6751,471,1077,536,647,946,861,1382,445
Murdostoun,Females,7208,248,1574,1537,202,288,1523,892,458
Musselburgh East and Carberry,All,10803,625,1794,1365,713,834,1830,1529,509
Musselburgh East and Carberry,Males,4918,396,779,332,505,586,608,945,222
Musselburgh East and Carberry,Females,5885,229,1015,1033,208,248,1222,584,287
Musselburgh West,All,7918,687,1725,1473,568,597,1161,840,241
Musselburgh West,Males,3758,424,738,391,419,448,416,510,136
Musselburgh West,Females,4160,263,987,1082,149,149,745,330,105
Na Hearadh agus Ceann a Deas nan Loch,All,1410,74,283,132,242,122,243,223,36
Na Hearadh agus Ceann a Deas nan Loch,Males,753,54,134,40,184,83,67,149,23
Na Hearadh agus Ceann a Deas nan Loch,Females,657,20,149,92,58,39,176,74,13
Nairn,All,8670,739,1924,1037,840,880,1471,1076,287
Nairn,Males,4239,473,847,267,537,631,470,680,125
Nairn,Females,4431,266,1077,770,303,249,1001,396,162
"Neilston, Uplawmoor and Newton Mearns North",All,13237,1769,3451,1858,1077,784,1632,850,536
"Neilston, Uplawmoor and Newton Mearns North",Males,6365,1134,1507,508,739,561,543,508,253
"Neilston, Uplawmoor and Newton Mearns North",Females,6872,635,1944,1350,338,223,1089,342,283
"Netherlee, Stamperland and Williamwood",All,9519,1771,2891,1397,738,441,749,367,189
"Netherlee, Stamperland and Williamwood",Males,4652,1116,1237,362,513,324,250,244,89
"Netherlee, Stamperland and Williamwood",Females,4867,655,1654,1035,225,117,499,123,100
Newlands / Auldburn,All,16704,1742,3228,2071,1048,1069,2523,2048,1499
Newlands / Auldburn,Males,8238,1030,1356,613,813,789,1010,1189,699
Newlands / Auldburn,Females,8466,712,1872,1458,235,280,1513,859,800
Newton Mearns South,All,8948,1937,2662,1163,921,279,615,203,231
Newton Mearns South,Males,4266,1237,1164,230,616,180,157,113,81
Newton Mearns South,Females,4682,700,1498,933,305,99,458,90,150
Nith,All,9795,727,2329,1384,675,834,1645,1197,392
Nith,Males,4805,473,907,378,470,620,705,792,188
Nith,Females,4990,254,1422,1006,205,214,940,405,204
North Berwick Coastal,All,8671,1464,2444,971,951,550,1012,572,209
North Berwick Coastal,Males,4204,988,1042,223,559,396,329,318,95
North Berwick Coastal,Females,4467,476,1402,748,392,154,683,254,114
North Coast and Cumbraes,All,11767,1317,2903,1652,1141,947,1607,1020,433
North Coast and Cumbraes,Males,5666,941,1295,385,743,657,489,567,218
North Coast and Cumbraes,Females,6101,376,1608,1267,398,290,1118,453,215
North East D,All,11296,379,1725,1408,591,996,2308,2155,941
North East D,Males,5305,226,693,343,429,724,838,1197,476
North East D,Females,5991,153,1032,1065,162,272,1470,958,465
North East G,All,24440,894,3136,2828,1252,2001,4791,4908,2754
