Name,Gender,AllPpl,C1,C2,C3,C4,C5,C6 ,C7,C8
Ballochmyle,All,11177,449,1768,1190,1007,1130,2026,2103,743
Ballochmyle,Males,5481,298,688,314,709,822,719,1243,339
Ballochmyle,Females,5696,151,1080,876,298,308,1307,860,404
Banchory and Mid Deeside,All,7876,1324,1963,878,798,653,1005,615,121
Banchory and Mid Deeside,Males,3954,966,814,185,505,490,327,373,47
Banchory and Mid Deeside,Females,3922,358,1149,693,293,163,678,242,74
Banff and District,All,8392,423,1481,742,1122,841,1629,1407,295
Banff and District,Males,4174,282,636,140,734,627,530,875,143
Banff and District,Females,4218,141,845,602,388,214,1099,532,152
Bannockburn,All,8645,430,1341,1055,538,916,1662,1697,480
Bannockburn,Males,4156,262,574,263,384,675,569,994,228
Bannockburn,Females,4489,168,767,792,154,241,1093,703,252
"Barraigh, Bhatarsaigh, Eirisgeigh agus Uibhist a Deas",All,2278,96,470,215,297,248,421,352,80
"Barraigh, Bhatarsaigh, Eirisgeigh agus Uibhist a Deas",Males,1161,58,194,55,229,185,144,203,42
"Barraigh, Bhatarsaigh, Eirisgeigh agus Uibhist a Deas",Females,1117,38,276,160,68,63,277,149,38
Barrhead,All,13069,879,2533,1991,752,1111,2304,1668,800
Barrhead,Males,6207,577,1013,514,566,834,860,970,406
Barrhead,Females,6862,302,1520,1477,186,277,1444,698,394
Bathgate,All,15488,1246,3274,2438,900,1223,2440,2387,701
Bathgate,Males,7556,789,1469,652,626,844,923,1538,324
Bathgate,Females,7932,457,1805,1786,274,379,1517,849,377
Bearsden North,All,9906,2137,3020,1390,743,375,731,323,200
Bearsden North,Males,4764,1349,1269,359,498,265,242,185,92
Bearsden North,Females,5142,788,1751,1031,245,110,489,138,108
Bearsden South,All,9639,1932,2944,1370,787,428,760,343,213
Bearsden South,Males,4664,1194,1219,363,565,311,255,215,94
Bearsden South,Females,4975,738,1725,1007,222,117,505,128,119
Beinn na Foghla agus Uibhist a Tuath,All,2224,126,530,240,274,203,363,327,73
Beinn na Foghla agus Uibhist a Tuath,Males,1131,85,242,80,213,140,97,200,35
Beinn na Foghla agus Uibhist a Tuath,Females,1093,41,288,160,61,63,266,127,38
Bellshill,All,11308,515,1787,1552,630,1121,2167,2084,750
Bellshill,Males,5433,324,743,419,454,820,799,1228,341
Bellshill,Females,5875,191,1044,1133,176,301,1368,856,409
Bishopbriggs North and Torrance,All,10479,1408,2902,1712,853,638,1044,634,232
Bishopbriggs North and Torrance,Males,5047,898,1236,422,617,496,345,397,123
Bishopbriggs North and Torrance,Females,5432,510,1666,1290,236,142,699,237,109
Bishopbriggs South,All,8775,747,2037,1576,649,673,1184,816,333
Bishopbriggs South,Males,4199,492,843,418,490,528,400,497,169
Bishopbriggs South,Females,4576,255,1194,1158,159,145,784,319,164
"Bishopton, Bridge of Weir and Langbank",All,8513,1271,2404,1304,572,530,902,613,218
